"","n","n_mi","group","delta","est","true","sd_true","sd_est","wb_sd_est","covr","covr_wb"
"1",500,5,0,88,16.0896437079578,16.1324509099519,0.402052486958374,0.399301753250196,NA,0.95,NA
"2",500,5,0,99,16.1321066171877,16.1324509099519,0.401485881026696,0.436215981645574,0.45207123750726,0.968,0.976
"3",500,5,1,88,17.0208773732576,16.9758361464038,0.386659805400845,0.385152666261945,NA,0.942,NA
"4",500,5,1,99,16.9827972329409,16.9758361464038,0.380821243261402,0.428562417296338,0.443285173881549,0.969,0.973
"5",500,5,9,88,0.931233665299846,0.843385236451905,0.563940091363244,0.554836994504656,NA,0.947,NA
"6",500,5,9,99,0.850690615753162,0.843385236451905,0.552064640553397,0.612462181278733,0.633964202112934,0.968,0.979
"7",500,10,0,88,16.0866050810941,16.1324509099519,0.39437986721959,0.399627130604959,NA,0.945,NA
"8",500,10,0,99,16.1293705684105,16.1324509099519,0.392118181549685,0.432978899619539,0.417142582285038,0.969,0.956
"9",500,10,1,88,17.0353476979231,16.9758361464038,0.373425767535182,0.385165377181242,NA,0.956,NA
"10",500,10,1,99,16.9983941262321,16.9758361464038,0.370567323435982,0.42359446981693,0.403701333746344,0.974,0.966
"11",500,10,9,88,0.948742616828955,0.843385236451905,0.517411497343505,0.555077568444648,NA,0.959,NA
"12",500,10,9,99,0.869023557821514,0.843385236451905,0.510327737233519,0.60614738891602,0.581232177021224,0.981,0.973
"13",500,20,0,88,16.0912536493063,16.1324509099519,0.39571116108473,0.399314273261361,NA,0.953,NA
"14",500,20,0,99,16.1335073426884,16.1324509099519,0.39460648129634,0.431064753626676,0.397682022098094,0.967,0.95
"15",500,20,1,88,17.0145777575532,16.9758361464038,0.397732045077759,0.385549775552575,NA,0.94,NA
"16",500,20,1,99,16.9779979224827,16.9758361464038,0.390855780341087,0.421649928894724,0.3818371824803,0.963,0.936
"17",500,20,9,88,0.923324108246895,0.843385236451905,0.54852644012422,0.555121306892281,NA,0.952,NA
"18",500,20,9,99,0.844490579794223,0.843385236451905,0.538420112308012,0.603204353431701,0.552025853287877,0.973,0.953
"19",500,50,0,88,16.0849311177093,16.1324509099519,0.39806568514082,0.399463302313332,NA,0.96,NA
"20",500,50,0,99,16.1312164697425,16.1324509099519,0.396864646723278,0.429856090480729,0.385365100199393,0.971,0.953
"21",500,50,1,88,17.0386164916107,16.9758361464038,0.380462130741653,0.385166693962075,NA,0.947,NA
"22",500,50,1,99,17.002333311642,16.9758361464038,0.371004827424518,0.42077255569504,0.370014617203754,0.976,0.947
"23",500,50,9,88,0.95368537390139,0.843385236451905,0.546818035555924,0.554957256434304,NA,0.952,NA
"24",500,50,9,99,0.871116841899485,0.843385236451905,0.532024797125832,0.601628288307118,0.534976916022787,0.97,0.947
"25",1000,5,0,88,16.0914820350296,16.1324509099519,0.279614712322613,0.282627816247776,NA,0.965,NA
"26",1000,5,0,99,16.1366196263854,16.1324509099519,0.28045332159997,0.309056597422745,0.319276701189157,0.975,0.975
"27",1000,5,1,88,17.0146911600999,16.9758361464038,0.271797017920547,0.272616869093485,NA,0.94,NA
"28",1000,5,1,99,16.9796925403418,16.9758361464038,0.266512502017956,0.300570828891436,0.31452574418177,0.97,0.976
"29",1000,5,9,88,0.923209125070369,0.843385236451905,0.393204618936027,0.392698808949717,NA,0.944,NA
"30",1000,5,9,99,0.843072913956409,0.843385236451905,0.384193130562514,0.431741262913434,0.448771856976231,0.977,0.982
"31",1000,10,0,88,16.0836086205285,16.1324509099519,0.27389379588991,0.282504852388286,NA,0.96,NA
"32",1000,10,0,99,16.1296337264364,16.1324509099519,0.273426538061864,0.305897399444954,0.294394190336706,0.973,0.966
"33",1000,10,1,88,17.0230228762083,16.9758361464038,0.273588861421212,0.272690541145513,NA,0.941,NA
"34",1000,10,1,99,16.9896154536327,16.9758361464038,0.269455959252053,0.29896521021269,0.28567647906152,0.972,0.963
"35",1000,10,9,88,0.939414255679732,0.843385236451905,0.391063624592616,0.392661438742327,NA,0.945,NA
"36",1000,10,9,99,0.85998172719632,0.843385236451905,0.384156381288052,0.427971296260462,0.410773769290117,0.975,0.967
"37",1000,20,0,88,16.0955627296229,16.1324509099519,0.284706817561951,0.282462786999403,NA,0.938,NA
"38",1000,20,0,99,16.1413666462389,16.1324509099519,0.283368034445614,0.305014375006718,0.280777731900825,0.968,0.946
"39",1000,20,1,88,17.0117075252642,16.9758361464038,0.276965055481532,0.272953636933849,NA,0.945,NA
"40",1000,20,1,99,16.9758824144749,16.9758361464038,0.269853548649702,0.299284738131061,0.271510935240094,0.971,0.949
"41",1000,20,9,88,0.916144795641328,0.843385236451905,0.398219423543164,0.392814862425026,NA,0.943,NA
"42",1000,20,9,99,0.834515768236,0.843385236451905,0.386713876256202,0.427452118976508,0.391097650499012,0.963,0.953
"43",1000,50,0,88,16.0788695002179,16.1324509099519,0.275614882211185,0.282530931201436,NA,0.956,NA
"44",1000,50,0,99,16.1246051148564,16.1324509099519,0.274170229119932,0.304140581717901,0.272695573912665,0.972,0.942
"45",1000,50,1,88,17.0253447683372,16.9758361464038,0.279592878049506,0.272465590301428,NA,0.935,NA
"46",1000,50,1,99,16.9903335484108,16.9758361464038,0.273694723320954,0.297461575166615,0.262044329431312,0.964,0.939
"47",1000,50,9,88,0.946475268119307,0.843385236451905,0.389629533470959,0.392524164781785,NA,0.938,NA
"48",1000,50,9,99,0.865728433554386,0.843385236451905,0.381397181632687,0.425483285001871,0.37870844151532,0.962,0.946
